strahler_order,tokunaga_index,length
1,11,628.83
1,11,285.585
1,12,628.83
1,12,679.315
1,12,238.688
1,12,775.21
1,12,113.219
1,12,214.189
1,11,41.8229
1,11,125.469
1,13,121.881
1,13,83.6458
1,13,20.9115
1,11,151.454
1,11,41.8229
1,12,465.126
1,12,344.731
1,11,92.3077
1,11,41.8229
1,12,146.38
1,11,281.997
1,11,62.7344
1,11,813.445
1,11,243.762
1,12,134.131
1,12,188.203
1,12,393.73
1,12,330.996
1,11,667.065
1,11,104.557
1,14,20.9115
1,14,92.3077
1,14,292.76
1,11,1135.78
1,11,256.012
1,12,146.38
1,12,853.782
1,11,642.566
1,11,160.116
1,12,92.3077
1,12,113.219
1,12,578.345
1,12,376.406
1,11,431.965
1,11,264.673
1,11,104.557
1,11,825.695
1,12,343.245
1,12,611.506
1,11,104.557
1,11,104.557
1,11,41.8229
1,11,811.343
1,13,71.3962
1,13,323.82
1,13,125.469
1,11,271.849
1,11,71.3962
1,12,259.599
1,11,20.9115
1,11,20.9115
1,12,71.3962
1,11,193.277
1,11,83.6458
1,12,214.189
1,13,943.988
1,11,92.3077
1,11,142.792
1,13,113.219
1,11,125.469
1,11,339.657
1,13,184.615
1,11,390.142
1,11,247.35
1,12,339.657
1,12,452.877
1,13,167.292
1,13,444.215
1,13,460.052
1,11,92.3077
1,11,20.9115
1,13,623.14
1,14,20.9115
1,12,113.219
1,11,294.247
1,11,372.819
1,11,62.7344
1,11,175.954
1,14,20.9115
1,15,405.98
1,15,355.495
1,15,146.38
1,11,83.6458
1,11,109.631
1,15,92.3077
1,15,334.583
1,15,447.803
1,15,125.469
1,11,449.289
1,11,20.9115
1,12,142.792
1,11,353.393
1,11,20.9115
1,12,616.58
1,12,142.792
1,11,310.084
1,11,62.7344
1,11,92.3077
1,11,113.219
1,13,602.845
1,13,900.679
1,11,701.712
1,11,209.115
1,13,92.3077
1,13,280.511
1,11,259.599
1,11,20.9115
1,11,41.8229
1,11,62.7344
1,14,142.792
1,14,573.271
1,15,41.8229
1,13,545.184
1,11,83.6458
1,11,125.469
1,13,306.496
1,11,167.292
1,11,41.8229
1,11,473.788
1,11,494.699
1,11,62.7344
1,11,646.154
1,13,163.704
1,13,259.599
1,13,20.9115
1,11,20.9115
1,11,259.599
1,13,20.9115
1,11,92.3077
1,11,41.8229
1,12,20.9115
1,12,235.1
1,11,83.6458
1,11,142.792
1,13,125.469
1,11,80.058
1,11,541.596
1,13,121.881
1,13,146.38
1,12,926.664
1,12,418.229
1,11,310.084
1,11,318.746
1,15,62.7344
1,15,41.8229
1,11,193.277
1,11,20.9115
1,12,390.142
1,11,189.689
1,11,189.689
1,12,240.174
1,11,20.9115
1,11,365.643
1,15,175.954
1,15,188.203
1,13,250.938
1,12,217.776
1,11,155.042
1,11,100.969
1,11,440.627
1,11,83.6458
1,13,167.292
1,13,426.891
1,13,113.219
1,13,759.372
1,13,167.292
1,15,20.9115
1,11,292.76
1,11,104.557
1,11,515.611
1,11,205.527
1,12,104.557
1,11,621.654
1,11,121.881
1,12,62.7344
1,12,181.027
1,11,405.98
1,11,20.9115
1,13,83.6458
1,11,205.527
1,11,83.6458
1,12,88.7198
1,12,222.85
1,12,708.888
1,12,196.865
1,11,62.7344
1,11,322.334
1,12,41.8229
1,12,20.9115
1,14,62.7344
1,11,71.3962
1,11,100.969
1,11,762.96
1,11,83.6458
1,11,768.034
1,11,125.469
1,11,669.167
1,11,167.292
1,13,230.026
1,11,125.469
1,11,306.496
1,14,327.408
1,14,418.229
1,14,285.585
1,14,385.068
1,14,41.8229
1,12,196.865
1,12,50.4847
1,11,100.969
1,11,62.7344
1,12,360.569
1,12,532.935
1,12,402.392
1,11,320.232
1,11,121.881
1,13,125.469
1,12,411.054
1,11,125.469
1,11,524.273
1,12,20.9115
1,12,271.849
1,12,20.9115
1,11,83.6458
1,11,20.9115
1,12,71.3962
1,13,372.819
1,11,238.688
1,11,163.704
1,11,175.954
1,11,83.6458
1,13,285.585
1,11,62.7344
1,11,125.469
1,11,440.627
1,11,29.5733
1,14,83.6458
1,14,20.9115
1,11,121.881
1,11,121.881
1,12,313.672
1,12,416.128
1,14,113.219
1,14,318.746
1,11,301.422
1,11,41.8229
1,12,268.261
1,12,125.469
1,12,452.877
1,11,172.366
1,11,184.615
1,13,175.953
1,11,623.756
1,11,292.76
1,13,416.128
1,13,271.849
1,11,424.789
1,11,196.865
1,13,449.289
1,13,240.174
1,11,62.7344
1,11,104.557
1,12,280.511
1,13,41.8229
1,11,163.704
1,11,256.012
1,12,104.557
1,11,561.022
1,11,330.996
1,13,418.229
1,11,20.9115
1,11,134.131
1,11,92.3077
1,11,431.965
1,13,372.819
1,11,109.631
1,11,201.939
1,13,566.096
1,12,306.496
1,11,297.834
1,11,281.997
1,11,250.938
1,11,351.907
1,13,188.203
1,13,407.466
1,13,684.389
1,13,1008.21
1,11,59.1465
1,11,280.511
1,12,332.482
1,11,323.82
1,11,20.9115
1,11,376.406
1,12,473.788
1,12,71.3962
1,12,214.189
1,13,330.996
1,14,863.93
1,11,155.042
1,11,351.907
1,12,877.666
1,12,667.065
1,12,339.657
1,11,222.85
1,11,370.717
1,11,259.599
1,11,155.042
1,14,987.297
1,11,184.615
1,11,146.38
1,11,146.38
1,11,230.026
1,14,134.131
1,14,620.168
1,14,134.131
1,11,41.8229
1,11,552.36
1,11,322.334
1,11,113.219
1,11,142.792
1,11,146.38
1,13,50.4847
1,14,313.672
1,14,447.803
1,14,125.469
1,12,62.7344
1,11,92.3077
1,11,109.631
1,12,460.052
1,15,83.6458
1,11,355.495
1,11,724.725
1,12,217.776
1,12,227.924
1,15,250.938
1,13,125.469
1,12,181.027
1,12,332.482
1,11,155.042
1,11,155.042
1,12,327.408
1,13,196.865
1,13,134.131
1,11,80.058
1,11,264.673
1,12,442.113
1,12,210.601
1,11,41.8229
1,11,121.881
1,13,167.292
1,12,83.6458
1,12,297.834
1,11,20.9115
1,11,636.006
1,12,250.938
1,12,297.834
1,11,62.7344
1,11,238.688
1,15,62.7344
1,15,452.877
1,15,897.091
1,11,155.042
1,11,59.1465
1,12,209.115
1,12,29.5733
1,11,273.335
1,11,88.7198
1,11,271.849
1,11,41.8229
1,13,301.422
1,13,62.7344
1,13,256.012
1,15,193.277
1,11,390.142
1,11,271.849
1,12,322.334
1,12,297.834
1,12,606.432
1,12,376.406
1,11,414.641
1,11,477.376
1,11,142.792
1,11,139.205
1,12,268.261
1,12,20.9115
1,12,62.7344
1,12,20.9115
1,12,146.38
1,12,167.292
1,13,146.38
1,12,1027.63
1,11,280.511
1,11,271.849
1,11,104.557
1,11,71.3962
1,14,188.203
1,14,1200
1,15,222.85
1,13,411.054
1,11,113.219
1,11,482.45
1,11,142.792
1,11,50.4847
1,12,259.599
1,11,59.1465
1,11,348.319
1,12,532.935
1,12,217.776
1,11,41.8229
1,11,175.954
1,12,289.173
1,11,297.834
1,11,398.804
1,13,62.7344
1,12,313.672
1,11,20.9115
1,11,188.203
1,12,696.638
1,13,20.9115
1,12,147.866
1,11,20.9115
1,11,306.496
1,13,20.9115
1,13,689.463
1,15,188.203
1,15,310.084
1,15,550.258
1,12,71.3962
1,11,20.9115
1,11,473.788
1,11,209.115
1,11,146.38
1,11,134.131
1,11,271.849
1,13,121.881
1,13,259.599
1,13,447.803
1,13,235.1
1,13,519.199
1,13,83.6458
1,13,240.174
1,13,83.6458
1,13,62.7344
1,11,125.469
1,11,20.9115
1,12,83.6458
1,12,41.8229
1,13,439.141
1,13,20.9115
1,13,104.557
1,13,599.257
1,11,519.199
1,11,243.762
1,11,188.203
1,11,219.263
1,12,226.438
1,15,674.241
1,15,250.938
1,15,801.195
1,13,449.289
1,12,628.83
1,12,217.776
1,11,252.424
1,11,362.055
1,11,20.9115
1,11,104.557
1,11,433.451
1,11,226.438
1,12,20.9115
1,12,276.923
1,12,214.189
1,11,50.4847
1,11,351.907
1,13,62.7344
1,13,301.422
1,13,402.392
1,11,83.6458
1,11,230.026
1,11,155.042
1,11,134.131
1,11,289.173
1,11,449.289
1,15,783.872
1,15,113.219
1,15,113.219
1,15,292.76
1,15,50.4847
1,11,134.131
1,11,113.219
1,11,155.042
1,11,125.469
1,12,134.131
1,11,423.303
1,11,188.203
1,12,705.3
1,11,294.247
1,11,226.438
1,13,62.7344
1,13,172.366
1,13,482.45
1,13,365.643
1,11,83.6458
1,11,184.615
1,12,62.7344
1,15,355.495
1,11,62.7344
1,11,146.38
1,12,41.8229
1,11,113.219
1,11,515.611
1,12,536.522
1,13,62.7344
1,11,41.8229
1,11,113.219
1,11,167.292
1,11,494.699
1,15,188.203
1,15,41.8229
1,12,1294.41
1,11,452.877
1,11,268.261
