strahler_order,tokunaga_index,length
1,17,608.92
1,17,274.504
1,17,125.131
1,12,149.373
1,11,253.609
1,11,409.677
1,17,19.5084
1,17,97.5421
1,12,321.602
1,11,526.153
1,11,427.224
1,11,263.076
1,11,141.292
1,12,74.6865
1,12,141.292
1,11,412.45
1,11,74.6865
1,11,342.497
1,11,389.594
1,11,589.412
1,11,623.695
1,11,334.416
1,11,39.0168
1,17,19.5084
1,17,651.284
1,17,946.683
1,11,847.755
1,11,47.0975
1,12,401.022
1,11,168.882
1,11,105.623
1,12,649.323
1,12,157.454
1,12,298.746
1,11,168.882
1,11,246.915
1,11,19.5084
1,11,55.1781
1,12,232.14
1,14,259.729
1,11,443.386
1,11,232.14
1,11,94.195
1,11,39.0168
1,13,19.5084
1,11,521.419
1,11,399.635
1,12,316.868
1,12,113.703
1,12,401.022
1,11,121.784
1,11,113.703
1,11,39.0168
1,11,191.737
1,12,474.322
1,11,27.5891
1,11,113.703
1,14,47.0975
1,11,688.34
1,11,790.616
1,12,954.764
1,12,1000.47
1,11,294.013
1,11,121.784
1,12,27.5891
1,12,27.5891
1,12,27.5891
1,12,47.0975
1,11,1258.82
1,11,39.0168
1,13,141.292
1,11,133.212
1,11,185.043
1,13,168.882
1,13,466.241
1,13,253.609
1,11,222.673
1,11,215.979
1,12,66.6059
1,12,647.937
1,12,420.53
1,11,279.238
1,11,55.1781
1,12,294.013
1,11,102.276
1,11,207.898
1,12,55.1781
1,13,160.801
1,11,271.157
1,11,121.784
1,13,873.383
1,13,207.898
1,13,337.763
1,11,862.529
1,11,458.161
1,11,180.309
1,11,318.255
1,13,86.1143
1,11,506.645
1,11,180.309
1,12,373.433
1,12,232.14
1,12,168.882
1,13,160.801
1,13,66.6059
1,13,157.454
1,13,136.559
1,13,47.0975
1,13,646.551
1,11,737.398
1,11,758.293
1,12,263.077
1,11,58.5252
1,11,125.131
1,11,310.174
1,11,160.801
1,11,113.703
1,11,113.703
1,14,39.0168
1,14,19.5084
1,11,254.996
1,11,47.0975
1,11,196.471
1,11,271.157
1,12,310.174
1,13,55.1781
1,13,207.898
1,13,334.416
1,13,487.136
1,13,243.568
1,13,274.504
1,11,305.44
1,11,141.292
1,12,129.865
1,12,232.14
1,12,337.763
1,12,243.568
1,11,444.772
1,11,469.588
1,12,137.945
1,11,149.373
1,11,224.06
1,13,121.784
1,13,263.076
1,13,121.784
1,13,392.941
1,13,295.399
1,13,753.56
1,13,129.865
1,13,263.076
1,11,86.1143
1,11,55.1781
1,12,362.005
1,11,290.666
1,11,121.784
1,12,844.407
1,13,86.1143
1,13,133.212
1,13,157.454
1,12,706.462
1,12,522.806
1,11,129.865
1,11,129.865
1,12,212.632
1,12,243.568
1,12,180.309
1,12,242.182
1,14,97.5421
1,11,345.844
1,11,212.632
1,12,102.276
1,12,185.043
1,12,267.81
1,11,94.195
1,11,19.5084
1,12,27.5891
1,12,185.043
1,13,149.373
1,12,722.623
1,11,271.157
1,11,129.865
1,13,589.412
1,13,491.87
1,13,433.344
1,13,717.89
1,12,314.907
1,12,298.746
1,11,129.865
1,11,384.86
1,11,227.407
1,11,212.632
1,11,102.276
1,11,105.623
1,13,207.898
1,13,306.827
1,14,207.898
1,11,1044.23
1,11,440.039
1,12,235.487
1,14,259.729
1,14,117.05
1,11,310.174
1,11,269.771
1,12,78.0337
1,14,19.5084
1,14,499.95
1,17,58.5252
1,17,78.0337
1,11,97.5421
1,11,47.0975
1,12,282.585
1,11,254.996
1,11,271.157
1,11,282.585
1,11,129.865
1,12,302.093
1,11,322.988
1,11,39.0168
1,13,110.356
1,13,399.635
1,13,883.424
1,12,204.551
1,12,401.022
1,12,176.962
1,12,224.06
1,12,232.14
1,12,185.043
1,12,74.6865
1,11,55.1781
1,11,243.568
1,12,19.5084
1,11,39.0168
1,11,27.5891
1,11,368.699
1,11,586.065
1,11,495.217
1,11,389.594
1,11,279.238
1,11,826.285
1,13,1175.48
1,11,55.1781
1,11,47.0975
1,11,704.501
1,11,743.518
1,13,691.687
1,13,793.963
1,11,168.882
1,11,345.844
1,12,617.001
1,11,94.195
1,11,381.513
1,12,530.886
1,14,113.703
1,11,39.0168
1,11,467.628
1,11,157.454
1,11,277.851
1,12,263.076
1,14,334.416
1,14,279.238
1,14,318.255
1,14,279.238
1,14,298.746
1,14,185.043
1,14,267.81
1,14,1021.37
1,14,212.632
1,14,290.666
1,14,137.945
1,14,1048.96
1,11,74.6865
1,11,27.5891
1,12,47.0975
1,12,47.0975
1,12,768.335
1,11,290.666
1,11,412.45
1,17,105.623
1,17,254.996
1,12,290.666
1,11,113.703
1,11,66.6059
1,12,74.6865
1,11,305.44
1,11,180.309
1,12,129.865
1,12,78.0337
1,11,165.534
1,11,94.195
1,12,47.0975
1,12,459.547
1,12,121.784
1,11,66.6059
1,11,129.865
1,11,487.136
1,11,196.471
1,13,542.314
1,11,537.581
1,11,66.6059
1,13,329.682
1,13,27.5891
1,13,353.924
1,11,86.1143
1,11,357.271
1,12,66.6059
1,12,149.373
1,12,74.6865
1,11,19.5084
