strahler_order,tokunaga_index,length
1,11,661.945
1,11,200.028
1,12,26.979
1,12,192.126
1,12,80.9371
1,11,296.769
1,11,161.874
1,13,38.1541
1,11,288.867
1,11,249.357
1,12,153.972
1,11,284.238
1,11,265.161
1,11,253.986
1,11,138.168
1,13,265.161
1,13,173.049
1,12,638.239
1,11,46.0561
1,11,26.979
1,11,92.1122
1,11,73.0351
1,12,496.798
1,12,214.476
1,12,138.168
1,11,46.0561
1,11,342.825
1,13,227.007
1,13,168.42
1,14,434.938
1,14,100.014
1,11,854.071
1,11,384.253
1,11,330.295
1,11,38.1541
1,13,227.007
1,13,192.126
1,13,73.0351
1,13,100.014
1,14,207.93
1,14,711.274
1,14,380.98
1,11,1165.29
1,11,450.742
1,14,26.979
1,11,376.351
1,11,57.2312
1,11,354.001
1,11,546.127
1,12,614.533
1,11,65.1331
1,11,26.979
1,12,176.322
1,12,369.804
1,12,100.014
1,12,126.993
1,12,73.0351
1,13,65.1331
1,14,246.084
1,14,100.014
1,14,531.679
1,14,180.951
1,14,146.07
1,11,533.596
1,11,300.042
1,12,184.224
1,12,492.169
1,12,184.224
1,12,26.979
1,12,788.938
1,12,253.986
1,13,1017.86
1,11,238.182
1,11,403.33
1,12,149.343
1,12,652.687
1,11,457.288
1,11,334.923
1,12,57.2312
1,12,319.12
1,11,673.12
1,11,157.245
1,13,249.357
1,13,938.281
1,13,380.98
1,13,153.972
1,12,19.0771
1,12,80.9371
1,11,1030.39
1,11,330.295
1,12,222.378
1,12,584.281
1,11,503.344
1,11,238.182
1,12,126.993
1,11,625.708
1,11,195.399
1,12,1238.32
1,13,273.063
1,11,161.874
1,11,430.309
1,14,130.266
1,14,769.861
1,14,73.0351
1,11,342.825
1,11,373.078
1,14,346.099
1,14,111.189
1,14,180.951
1,14,84.2102
1,12,523.777
1,12,596.812
1,12,602.002
1,12,379.624
1,11,1108.06
1,11,230.28
1,12,138.168
1,12,546.127
1,12,273.063
1,11,53.9581
1,11,146.07
1,15,607.987
1,11,485.623
1,11,53.9581
1,12,92.1122
1,12,411.232
1,15,573.106
1,15,995.512
1,15,26.979
1,11,1677.89
1,11,869.875
1,15,207.93
1,11,207.93
1,11,207.93
1,12,461.917
1,11,1816.06
1,11,165.147
1,12,446.113
1,11,146.07
1,11,26.979
1,12,357.274
1,12,246.084
1,11,53.9581
1,11,26.979
1,12,576.379
1,11,160.518
1,11,80.9371
1,13,888.952
1,13,173.049
1,13,1268.58
1,12,307.944
1,11,354.001
1,11,207.93
1,12,311.218
1,13,230.28
1,13,138.168
1,12,534.952
1,11,192.126
1,11,92.1122
1,12,19.0771
1,11,76.3082
1,11,942.91
1,13,981.064
1,11,1260.67
1,11,438.211
1,11,311.218
1,11,119.091
1,14,622.435
1,11,895.498
1,11,134.895
1,14,500.071
1,14,200.028
1,12,346.099
1,11,119.091
1,11,130.266
1,11,706.645
1,11,176.322
1,12,46.0561
1,12,686.212
1,12,219.105
1,11,649.414
1,11,46.0561
1,11,327.021
1,11,153.972
1,14,1514.66
1,14,126.993
1,14,200.028
1,14,249.357
1,11,649.414
1,11,65.1331
1,11,361.902
1,11,19.0771
1,12,380.98
1,14,595.456
1,14,165.147
1,14,207.93
1,11,146.07
1,11,207.93
1,14,288.867
1,11,284.238
1,11,19.0771
1,14,246.084
1,12,292.14
1,11,122.364
1,11,73.0351
1,12,126.993
1,11,696.826
1,11,53.9581
1,14,126.993
1,14,554.029
1,11,1242.95
1,11,73.0351
1,11,1127.13
1,11,203.301
1,11,292.14
1,11,349.372
1,12,103.287
1,13,198.673
1,13,607.987
1,11,303.316
1,11,38.1541
1,12,119.091
1,11,725.722
1,11,346.099
1,12,38.1541
1,13,161.874
1,13,407.959
1,11,173.049
1,11,234.909
1,12,19.0771
1,12,215.832
1,12,19.0771
1,12,342.825
1,12,107.916
1,12,765.232
1,12,452.659
1,11,141.441
1,11,126.993
1,12,450.742
1,11,931.735
1,11,206.575
1,13,400.057
1,13,630.337
1,11,180.951
1,11,400.057
1,12,403.33
1,12,319.12
1,11,230.28
1,11,423.763
1,12,373.078
1,12,180.951
1,11,126.993
1,11,346.099
1,13,107.916
1,13,307.944
1,14,311.218
1,14,211.203
1,14,187.497
1,14,814.561
1,11,227.007
1,11,130.266
1,11,376.351
1,11,126.993
1,14,450.742
1,11,265.161
1,11,319.12
1,14,1601.58
1,11,338.197
1,11,19.0771
1,14,100.014
1,12,84.2102
1,12,550.756
1,11,26.979
1,11,233.554
1,12,203.301
1,12,419.134
1,12,665.218
1,14,1174.55
1,11,511.246
1,11,80.9371
1,15,173.049
1,15,173.049
1,11,257.259
1,11,300.042
1,11,253.986
1,11,1155.47
1,11,1412.73
1,11,668.491
1,12,388.882
1,15,65.1331
1,11,584.281
1,11,273.063
1,12,238.182
1,11,126.993
1,11,119.091
1,12,207.93
1,12,138.168
1,13,103.287
1,13,157.245
1,13,730.351
1,13,261.888
1,13,300.042
1,13,38.1541
1,13,930.379
1,13,100.014
1,11,373.078
1,11,126.993
1,12,457.288
1,12,319.12
1,12,446.113
1,12,230.28
1,12,246.084
1,12,138.168
1,13,111.189
1,11,804.742
1,11,19.0771
1,12,238.182
1,12,19.0771
1,11,924.394
1,11,19.0771
1,13,84.2102
1,11,419.134
1,11,119.091
1,13,19.0771
1,13,273.063
1,11,419.134
1,11,73.0351
1,12,107.916
1,12,53.9581
1,11,719.176
1,11,103.287
1,13,19.0771
1,14,649.414
1,14,657.316
1,14,303.316
1,11,788.938
1,11,53.9581
1,12,333.568
1,15,1041.57
1,11,46.0561
1,11,26.979
1,12,53.9581
1,12,134.895
1,12,26.979
1,11,211.203
1,11,146.07
1,13,1181.09
1,13,173.049
1,13,490.813
1,13,806.659
1,11,722.449
1,11,868.519
1,11,525.694
1,11,476.365
1,12,157.245
1,14,134.895
1,14,1231.78
1,11,92.1122
1,11,111.189
1,14,80.9371
1,11,307.944
1,11,576.379
1,11,523.777
1,11,319.12
1,11,173.049
1,11,207.93
1,13,280.965
1,13,496.798
1,13,57.2312
1,13,641.512
1,13,808.015
1,12,234.909
1,11,261.888
1,11,253.986
1,11,573.106
1,11,422.407
1,14,207.93
