strahler_order,tokunaga_index,length
1,11,336.365
1,11,27.7499
1,12,102.872
1,11,576.592
1,11,279.471
1,12,295.726
1,13,548.842
1,13,328.237
1,13,189.488
1,13,66.9941
1,11,150.244
1,11,1582.32
1,12,177.994
1,11,427.743
1,11,186.121
1,12,55.4998
1,13,256.482
1,11,1505.8
1,11,597.609
1,12,19.6221
1,12,343.098
1,11,442.604
1,11,86.6163
1,11,94.744
1,11,122.494
1,12,142.116
1,12,27.7499
1,11,58.8664
1,11,225.366
1,13,122.494
1,13,514.359
1,13,47.372
1,13,648.347
1,13,213.871
1,13,375.609
1,11,244.988
1,11,292.36
1,13,391.865
1,13,158.372
1,14,525.853
1,14,78.4885
1,14,330.21
1,14,362.721
1,14,263.215
1,14,94.744
1,11,323.476
1,11,272.738
1,14,98.1107
1,11,726.836
1,11,189.488
1,14,86.6163
1,11,406.726
1,11,19.6221
1,11,39.2443
1,11,27.7499
1,13,19.6221
1,11,542.109
1,11,228.732
1,13,66.9941
1,14,47.372
1,14,667.969
1,14,347.86
1,14,75.1219
1,11,248.354
1,11,86.6163
1,12,78.4885
1,11,267.977
1,11,27.7499
1,12,142.116
1,12,280.865
1,12,75.1219
1,12,488.581
1,12,39.2443
1,11,122.494
1,11,209.11
1,13,102.872
1,11,749.824
1,11,47.372
1,12,142.116
1,12,150.244
1,12,470.353
1,12,102.872
1,12,414.854
1,11,47.372
1,11,573.225
1,11,47.372
1,11,494.737
1,12,679.464
1,12,122.494
1,12,225.366
1,12,19.6221
1,12,328.237
1,13,571.831
1,13,181.36
1,13,272.738
1,11,209.11
1,11,605.736
1,12,83.2497
1,11,241.621
1,11,66.9941
1,11,130.622
1,11,872.318
1,12,872.318
1,12,537.348
1,11,244.988
1,11,189.488
1,12,233.493
1,12,189.488
1,14,47.372
1,14,347.86
1,11,47.372
1,11,225.366
1,12,142.116
1,12,102.872
1,11,375.609
1,11,55.4998
1,11,961.724
1,11,177.994
1,13,361.326
1,13,177.994
1,14,27.7499
1,14,933.974
1,14,323.476
1,14,264.61
1,14,568.464
1,14,596.214
1,12,331.604
1,11,86.6163
1,11,269.371
1,14,588.086
1,14,324.871
1,11,173.233
1,11,19.6221
1,12,690.958
1,12,125.861
1,14,514.359
1,14,834.469
1,15,27.7499
1,15,177.994
1,15,94.744
1,15,27.7499
1,12,66.9941
1,11,86.6163
1,11,217.238
1,12,362.721
1,11,267.977
1,11,161.738
1,12,462.226
1,11,280.865
1,11,702.452
1,13,102.872
1,11,133.988
1,11,1675.67
1,13,1417.79
1,11,75.1219
1,11,122.494
1,12,612.469
1,12,177.994
1,11,125.861
1,11,1277.07
1,12,772.813
1,13,47.372
1,11,426.348
1,11,1201.95
1,12,19.6221
1,11,509.598
1,11,311.982
1,12,240.227
1,12,125.861
1,12,510.992
1,12,253.116
1,12,395.232
1,12,177.994
1,12,205.744
1,12,27.7499
1,11,383.737
1,11,367.482
1,12,303.854
1,12,244.988
1,11,142.116
1,11,161.738
1,14,19.6221
1,14,233.493
1,15,236.86
1,11,422.981
1,11,481.848
1,15,181.36
1,15,552.209
1,15,489.976
1,15,217.238
1,11,209.11
1,11,880.446
1,11,27.7499
1,11,542.109
1,12,200.982
1,15,726.836
1,15,331.604
1,15,354.593
1,15,86.6163
1,15,217.238
1,15,142.116
1,15,209.11
1,15,47.372
1,15,86.6163
1,12,269.371
1,11,27.7499
1,11,529.22
1,12,454.098
1,15,462.226
1,15,233.493
1,11,173.233
1,11,999.573
1,12,130.622
1,11,133.988
1,11,19.6221
1,13,111
1,11,122.494
1,11,612.47
1,11,133.988
1,13,213.871
1,12,55.4998
1,11,66.9941
1,11,718.708
1,11,553.603
1,11,552.209
1,11,811.48
1,13,94.744
1,12,244.988
1,12,628.725
1,11,27.7499
1,11,217.238
1,12,971.823
1,13,19.6221
1,13,122.494
1,11,253.116
1,11,383.737
1,13,643.586
1,13,347.86
1,11,27.7499
1,11,300.488
1,12,217.238
1,11,47.372
1,11,308.615
1,13,315.349
1,14,671.336
1,14,276.104
1,14,244.988
1,14,197.616
1,11,336.365
1,11,225.366
1,11,98.1107
1,11,355.987
1,13,19.6221
1,13,66.9941
1,13,86.6163
1,13,66.9941
1,13,122.494
1,13,27.7499
1,13,478.481
1,13,509.598
1,12,39.2443
1,11,19.6221
1,11,94.744
1,13,19.6221
1,12,27.7499
1,12,66.9941
1,11,27.7499
1,11,39.2443
1,13,450.731
1,12,367.482
1,11,83.2497
1,11,272.738
1,13,94.744
1,11,419.615
1,11,633.486
1,13,58.8664
1,13,280.865
1,11,217.238
1,11,300.488
1,13,197.616
1,13,102.872
1,13,573.225
1,13,442.604
1,13,813.452
1,13,280.865
1,13,653.108
1,11,253.116
1,11,272.738
1,13,122.494
1,13,58.8664
1,12,241.621
1,12,122.494
1,11,181.36
1,11,209.11
1,12,94.744
1,12,47.372
1,11,47.372
1,11,359.354
1,13,375.609
1,11,225.366
1,11,192.855
1,13,458.859
1,13,617.231
1,13,600.975
1,13,600.975
1,13,75.1219
1,13,395.232
1,13,292.36
1,13,205.744
1,13,27.7499
1,11,186.121
1,11,197.616
1,12,130.622
1,12,316.743
1,11,75.1219
1,11,189.488
1,12,478.481
1,13,339.732
1,13,150.244
1,13,228.732
1,13,122.494
1,13,102.872
1,11,153.61
1,11,186.121
1,12,695.719
1,11,486.609
1,11,643.586
1,13,659.842
1,12,458.859
1,11,66.9941
1,11,413.459
1,12,1038.82
1,11,475.115
1,11,125.861
1,11,55.4998
1,11,280.865
1,12,450.731
1,12,177.994
1,11,102.872
1,11,364.115
1,11,197.616
1,11,450.731
1,14,269.371
1,14,114.366
1,14,220.605
1,14,114.366
1,11,478.481
1,11,200.982
1,12,888.574
1,14,125.861
1,11,102.872
1,11,111
1,12,544.081
1,14,359.354
1,14,280.865
1,14,276.104
1,11,383.737
1,11,248.354
1,14,86.6163
1,13,122.494
1,13,328.237
1,11,83.2497
1,11,66.9941
1,11,102.872
1,11,359.354
1,13,166.499
1,13,78.4885
1,13,189.488
1,14,94.744
1,14,39.2443
1,14,130.622
1,11,142.116
1,11,233.493
1,12,78.4885
1,12,19.6221
1,12,55.4998
1,11,122.494
1,11,225.366
1,12,27.7499
1,12,150.244
1,12,351.226
1,12,75.1219
1,11,367.482
1,11,197.616
1,14,667.969
1,11,778.969
1,13,604.342
1,12,308.615
1,11,133.988
1,11,39.2443
1,11,94.744
1,11,277.499
1,13,27.7499
1,14,19.6221
1,14,19.6221
1,14,106.238
1,14,47.372
1,14,192.855
1,11,343.098
1,11,213.871
1,14,150.244
1,14,102.872
1,11,66.9941
1,11,316.743
1,12,19.6221
1,12,55.4998
1,11,297.121
1,11,169.866
1,14,94.744
1,14,83.2497
1,13,158.372
1,11,27.7499
1,11,153.61
1,13,940.707
1,13,27.7499
1,13,138.749
1,11,55.4998
1,11,169.866
1,11,261.243
1,11,272.738
1,13,122.494
1,11,47.372
1,11,324.871
1,12,347.86
1,11,236.86
1,11,267.977
1,13,177.994
1,11,27.7499
1,11,682.83
1,11,111
1,11,200.982
1,11,150.244
1,11,300.488
1,11,364.115
1,11,47.372
1,13,414.854
1,12,47.372
1,11,19.6221
1,11,288.993
1,12,233.493
1,11,161.738
1,11,344.493
1,11,328.237
1,11,351.226
1,13,686.197
1,13,623.964
1,13,836.441
1,13,326.843
1,13,561.731
1,11,83.2497
1,11,98.1107
1,11,261.243
1,11,267.977
1,12,186.121
1,11,279.471
1,11,156.977
1,14,597.609
1,14,47.372
1,14,308.615
1,14,475.115
1,14,403.359
1,14,47.372
1,14,94.744
1,14,506.231
1,14,272.738
1,11,355.987
1,14,27.7499
1,11,272.738
1,11,406.726
1,14,236.86
1,12,328.237
1,11,19.6221
1,11,447.365
1,14,324.871
1,14,695.719
1,14,253.116
1,12,133.988
1,12,94.744
1,12,264.61
