strahler_order,tokunaga_index,length
1,11,727.05
1,11,134.285
1,12,306.938
1,12,115.102
1,11,442.587
1,11,19.1836
1,11,311.593
1,11,207.729
1,13,95.9181
1,13,357.906
1,13,301.719
1,11,375.162
1,11,119.757
1,11,785.964
1,11,490.264
1,11,191.836
1,11,19.1836
1,13,746.234
1,13,196.491
1,13,522.048
1,11,172.653
1,11,172.653
1,12,316.247
1,11,326.122
1,11,57.5509
1,13,158.124
1,13,38.3673
1,11,713.885
1,11,261.988
1,11,412.166
1,11,445.878
1,11,223.621
1,11,92.6267
1,12,932.851
1,12,247.459
1,11,297.064
1,11,506.156
1,11,940.232
1,11,57.5509
1,12,138.94
1,13,57.5509
1,11,1044.66
1,11,57.5509
1,13,268.571
1,14,386.399
1,14,258.697
1,11,504.792
1,11,631.132
1,12,95.9181
1,12,922.976
1,12,282.535
1,11,215.675
1,11,378.453
1,12,92.6268
1,12,533.85
1,12,697.992
1,11,57.5509
1,11,463.134
1,12,557.124
1,13,249.387
1,13,423.403
1,13,383.108
1,13,57.5509
1,13,57.5509
1,13,146.886
1,13,38.3673
1,11,84.6806
1,11,281.172
1,12,111.81
1,12,146.886
1,12,76.7345
1,12,230.204
1,11,678.809
1,11,158.124
1,11,381.744
1,11,161.415
1,13,146.886
1,13,293.772
1,13,830.35
1,13,76.7345
1,13,562.343
1,13,95.9181
1,11,119.757
1,11,805.148
1,14,207.729
1,14,212.383
1,14,92.6268
1,15,153.469
1,12,38.3673
1,11,95.9181
1,11,226.912
1,15,589.473
1,15,19.1836
1,15,434.641
1,15,330.776
1,15,431.349
1,11,226.912
1,11,285.826
1,11,335.431
1,11,188.545
1,12,153.469
1,15,177.307
1,11,447.242
1,11,174.016
1,12,169.361
1,11,177.307
1,11,19.1836
1,12,19.1836
1,12,193.2
1,11,100.573
1,11,367.216
1,13,172.653
1,11,242.804
1,11,115.102
1,12,103.864
1,12,201.146
1,12,269.934
1,12,154.832
1,11,257.333
1,11,57.5509
1,13,578.236
1,14,172.653
1,11,174.016
1,11,81.3892
1,12,57.5509
1,12,220.329
1,12,95.9181
1,11,579.599
1,11,471.08
1,12,84.6806
1,11,297.064
1,11,328.848
1,11,416.82
1,11,76.7345
1,11,196.491
1,11,269.934
1,11,153.469
1,14,308.301
1,11,142.232
1,11,46.3134
1,11,266.643
1,14,115.102
1,11,551.106
1,11,150.178
1,14,38.3673
1,11,228.275
1,11,84.6806
1,15,158.124
1,11,57.5509
1,11,297.064
1,12,312.956
1,12,442.587
1,12,407.511
1,12,300.355
1,15,482.317
1,15,57.5509
1,15,134.285
1,15,142.232
1,15,606.729
1,15,359.27
1,12,383.108
1,12,138.94
1,12,185.253
1,11,65.497
1,11,204.437
1,15,514.102
1,15,134.285
1,11,450.533
1,11,316.247
1,12,111.81
1,12,111.81
1,12,496.846
1,12,38.3673
1,11,57.5509
1,11,115.102
1,13,103.864
1,15,19.1836
1,11,38.3673
1,11,57.5509
1,11,100.573
1,11,38.3673
1,11,348.032
1,11,236.222
1,11,46.3134
1,11,228.275
1,12,351.323
1,11,169.361
1,11,19.1836
1,15,268.571
1,15,153.469
1,15,19.1836
1,15,172.653
1,12,46.3134
1,12,293.772
1,12,119.756
1,11,146.886
1,11,397.637
1,11,162.778
1,11,27.1297
1,13,46.3134
1,11,19.1836
1,11,19.1836
1,12,19.1836
1,12,38.3673
1,13,653.042
1,11,212.383
1,11,154.832
1,12,153.469
1,12,582.89
1,12,476.299
1,12,285.826
1,12,230.204
1,11,268.571
1,11,76.7345
1,12,103.864
1,12,111.81
1,12,100.573
1,12,54.2595
1,12,265.279
1,12,602.074
1,11,100.573
1,11,27.1297
1,12,92.6268
1,12,231.567
1,13,38.3673
1,11,818.314
1,11,415.457
1,11,92.6268
1,11,81.3892
1,12,19.1836
1,13,138.94
1,11,469.717
1,11,57.5509
1,12,474.371
1,12,76.7345
1,12,142.232
1,11,95.9181
1,11,38.3673
1,12,76.7345
1,12,57.5509
1,12,351.323
1,11,223.621
1,11,166.07
1,12,181.962
1,12,19.1836
1,12,73.4431
1,12,381.745
1,12,19.1836
1,12,520.685
1,12,19.1836
1,11,65.497
1,11,100.573
1,13,335.431
1,13,226.912
1,13,207.729
1,13,188.545
1,11,598.783
1,11,92.6267
1,14,150.178
1,14,354.615
1,14,305.01
1,14,365.852
1,11,699.356
1,11,73.4431
1,12,84.6806
1,12,76.7345
1,11,336.794
1,11,19.1836
1,11,100.573
1,11,220.329
1,11,57.5509
1,11,115.102
1,12,400.928
1,11,73.4431
1,11,193.2
1,13,565.635
1,12,103.864
1,11,274.589
1,11,185.253
1,12,57.5509
1,12,119.757
1,12,57.5509
1,11,250.75
1,11,351.323
1,12,19.1836
1,11,459.842
1,11,1018.89
1,12,46.3134
1,14,268.571
1,11,617.966
1,11,522.048
1,11,334.068
1,11,19.1836
1,14,142.232
1,12,694.701
1,11,57.5509
1,11,185.253
1,12,776.09
1,14,269.934
1,13,509.447
1,13,92.6268
1,11,54.2595
1,11,19.1836
1,12,335.431
1,12,38.3673
1,11,479.026
1,11,621.258
1,15,652.243
1,15,134.285
1,15,76.7345
1,15,633.06
1,15,38.3673
1,15,268.571
1,15,211.02
1,15,978.366
1,11,332.14
1,11,336.794
1,15,38.3673
