strahler_order,tokunaga_index,length
1,11,617.844
1,11,181.526
1,12,420.464
1,11,331.343
1,11,108.259
1,12,165.672
1,12,27.0647
1,13,328.059
1,13,176.882
1,13,374.262
1,13,27.0647
1,11,73.2669
1,11,81.194
1,13,81.194
1,13,73.2669
1,13,27.0647
1,13,250.149
1,13,693.034
1,13,157.744
1,13,250.149
1,13,223.084
1,11,299.635
1,11,385.472
1,13,216.517
1,13,320.132
1,13,100.332
1,11,133.963
1,11,100.332
1,13,73.2669
1,11,320.132
1,11,293.068
1,12,203.947
1,12,479.237
1,13,27.0647
1,13,208.59
1,13,27.0647
1,13,146.534
1,13,270.647
1,13,579.569
1,11,46.2023
1,11,19.1376
1,12,385.472
1,11,335.987
1,11,27.0647
1,13,54.1293
1,11,57.4128
1,11,81.194
1,12,100.332
1,12,328.06
1,13,273.93
1,11,378.905
1,11,339.27
1,12,92.4046
1,13,19.1376
1,13,27.0647
1,13,135.323
1,13,350.481
1,13,111.542
1,13,258.076
1,13,423.747
1,13,813.864
1,11,409.253
1,11,176.882
1,11,571.641
1,11,423.747
1,13,130.68
1,13,135.323
1,13,27.0647
1,14,146.534
1,14,216.517
1,14,46.2023
1,14,92.4046
1,11,328.059
1,11,629.054
1,11,38.2752
1,11,173.599
1,14,358.408
1,14,702.321
1,11,347.197
1,11,304.278
1,11,586.135
1,11,84.4775
1,14,705.605
1,11,355.124
1,11,235.655
1,14,54.1293
1,14,19.1376
1,14,300.995
1,11,728.026
1,11,19.1376
1,14,38.2752
1,11,442.885
1,11,234.295
1,14,600.63
1,14,320.132
1,11,262.72
1,11,54.1293
1,11,335.987
1,11,27.0647
1,13,100.332
1,13,485.804
1,13,401.326
1,11,189.453
1,11,46.2023
1,11,161.028
1,11,81.194
1,11,246.865
1,11,300.995
1,12,73.2669
1,12,570.281
1,13,108.259
1,13,200.663
1,13,73.2669
1,11,266.003
1,11,146.534
1,13,196.02
1,13,211.874
1,13,293.068
1,13,27.0647
1,13,625.771
1,13,54.1293
1,13,231.011
1,13,482.52
1,13,54.1293
1,11,133.963
1,11,339.27
1,12,968.325
1,12,324.776
1,11,262.72
1,11,246.865
1,12,54.1293
1,12,614.56
1,11,54.1293
1,11,46.2023
1,13,103.615
1,13,563.714
1,11,181.526
1,11,270.647
1,11,73.2669
1,11,38.2752
1,14,605.273
1,14,554.427
1,14,914.195
1,11,54.1293
1,11,119.469
1,12,65.3399
1,12,162.388
1,12,19.1376
1,12,54.1293
1,11,65.3399
1,11,285.141
1,14,436.318
1,11,111.542
1,11,355.124
1,14,200.663
1,14,353.764
1,14,65.3399
1,14,834.361
1,12,154.461
1,12,27.0647
1,12,176.882
1,11,92.4046
1,11,790.082
1,14,200.663
1,14,539.933
1,14,285.141
1,14,258.076
1,14,111.542
1,13,444.245
1,11,108.259
1,11,659.403
1,12,458.739
1,11,127.396
1,11,343.914
1,13,482.52
1,11,216.517
1,11,455.456
1,15,1029.02
1,11,227.728
1,11,57.4128
1,15,19.1376
1,11,1046.24
1,11,347.197
1,15,92.4046
1,11,316.849
1,11,27.0647
1,11,203.947
1,11,65.3399
1,12,208.59
1,11,242.222
1,11,200.663
1,13,200.663
