strahler_order,tokunaga_index,length
1,11,346.822
1,11,218.707
1,11,423.204
1,11,117.125
1,17,1094.09
1,17,474.938
1,17,651.568
1,12,229.697
1,12,98.3628
1,11,37.5242
1,11,26.5336
1,11,181.183
1,11,287.317
1,12,71.8292
1,13,268.555
1,13,79.6008
1,13,683.987
1,17,651.568
1,12,951.209
1,12,381.127
1,12,476.271
1,11,566.862
1,11,45.2957
1,12,295.089
1,12,215.488
1,12,687.206
1,12,332.613
1,12,256.231
1,11,56.2862
1,11,45.2957
1,12,71.8292
1,12,117.125
1,12,366.918
1,12,480.823
1,12,18.7621
1,11,418.651
1,11,245.24
1,13,64.0577
1,13,302.86
1,13,936.999
1,13,1112.3
1,13,128.115
1,13,151.43
1,13,242.021
1,13,271.774
1,13,321.622
1,12,506.024
1,11,437.414
1,11,135.887
1,12,135.887
1,13,192.173
1,11,18.7621
1,11,429.642
1,11,98.3628
1,11,56.2862
1,12,128.115
1,12,471.719
1,12,274.993
1,12,317.07
1,11,165.64
1,11,45.2957
1,12,905.913
1,11,234.25
1,11,226.478
1,12,162.421
1,11,79.6008
1,11,162.421
1,13,79.6008
1,13,332.613
1,13,276.326
1,14,139.106
1,11,53.0672
1,11,287.317
1,11,71.8292
1,11,71.8292
1,11,143.658
1,11,18.7621
1,12,143.658
1,12,162.421
1,11,328.06
1,11,90.5913
1,11,662.006
1,11,324.841
1,11,132.668
1,11,18.7621
1,11,37.5242
1,11,332.613
1,13,501.471
1,14,385.68
1,14,268.555
1,14,223.259
1,15,135.887
1,17,423.204
1,11,154.649
1,11,284.098
1,12,181.183
1,12,452.957
1,12,279.545
1,12,415.432
1,12,438.747
1,17,93.8104
1,11,124.896
1,11,151.43
1,12,306.079
1,12,18.7621
1,12,313.851
1,12,26.5336
1,12,412.213
1,11,715.073
1,11,124.896
1,12,465.281
1,11,188.954
1,11,215.488
1,12,117.125
1,13,290.536
1,13,45.2957
1,13,188.954
1,13,132.668
1,13,476.271
1,13,396.67
1,12,630.92
1,11,555.872
1,11,173.411
1,12,53.0672
1,12,71.8292
1,12,79.6008
1,12,56.2862
1,13,335.832
1,13,207.716
1,13,585.625
1,11,226.478
1,11,124.896
1,11,18.7621
1,11,93.8104
1,12,626.368
1,13,79.6008
1,13,177.964
1,11,143.658
1,11,354.594
1,13,506.024
1,12,388.899
1,12,423.204
1,11,98.3628
1,11,479.49
1,11,408.994
1,11,26.5336
