strahler_order,tokunaga_index,length
1,11,291.653
1,11,211.115
1,12,85.4232
1,12,117.352
1,12,40.2689
1,12,142.372
1,12,174.301
1,12,219.455
1,11,134.032
1,11,165.961
1,12,284.744
1,12,145.827
1,12,304.879
1,12,197.89
1,12,247.93
1,12,430.571
1,12,819.442
1,13,177.755
1,13,427.116
1,13,445.82
1,13,1627.09
1,11,504.199
1,11,284.744
1,12,579.852
1,12,417.345
1,13,129.147
1,13,227.795
1,13,288.199
1,13,182.641
1,13,882.707
1,11,986.834
1,11,28.4744
1,11,68.7433
1,11,125.692
1,12,490.974
1,11,68.7433
1,11,77.0833
1,12,56.9488
1,12,296.539
1,11,742.358
1,11,345.147
1,12,48.6089
1,11,202.775
1,11,214.57
1,12,186.095
1,13,48.6089
1,14,779.173
1,14,113.898
1,11,268.064
1,11,487.519
1,12,340.262
1,11,742.358
1,11,105.558
1,12,247.93
1,12,1115.98
1,12,85.4232
1,11,20.1344
1,11,56.9488
1,14,559.717
1,14,85.4232
1,11,1345.8
1,11,100.672
1,14,928.454
1,14,40.2689
1,11,182.641
1,11,48.6089
1,14,28.4744
1,14,455.59
1,14,413.891
1,14,341.693
1,14,231.25
1,14,40.2689
1,11,980.517
1,11,650.026
1,12,299.993
1,12,142.372
1,12,85.4232
1,14,109.012
1,14,258.293
1,11,174.301
1,11,145.827
1,14,85.4232
1,11,799.307
1,11,465.954
1,12,199.321
1,12,502.768
1,11,430.571
1,11,284.744
1,12,157.621
1,12,202.775
1,13,316.673
1,13,85.4232
1,13,320.128
1,11,251.384
1,11,467.385
1,12,368.736
1,12,636.801
1,12,28.4744
1,11,591.646
1,11,40.2689
1,12,56.9488
1,13,211.115
1,13,105.558
1,11,616.666
1,11,356.942
1,13,397.211
1,14,645.141
1,14,306.902
1,11,125.692
1,11,368.736
1,11,304.879
1,11,547.923
1,11,328.467
1,11,328.468
1,14,336.807
1,14,85.4232
1,14,218.024
1,12,790.967
1,11,80.5378
1,11,390.302
1,12,226.364
1,12,1579.91
1,11,467.385
1,11,609.757
1,13,97.2177
1,13,348.602
1,13,109.012
1,11,259.724
1,11,268.064
1,12,673.615
1,11,194.435
1,11,113.898
1,12,247.93
1,12,28.4744
1,12,140.941
1,11,154.167
1,11,320.128
1,11,693.749
1,11,434.025
1,11,85.4232
1,11,268.064
1,12,308.333
1,13,145.827
1,13,711.86
1,14,165.961
1,14,336.807
1,14,276.404
1,14,869.481
1,14,713.884
1,14,142.372
1,14,348.602
1,14,28.4744
1,11,88.8777
1,11,48.6089
1,12,551.377
1,11,438.911
1,11,56.9488
1,12,239.59
1,11,836.714
1,11,247.93
1,13,48.6089
1,14,427.116
1,11,1360.46
1,11,1807.7
1,12,673.615
1,14,199.321
1,11,1449.33
1,11,762.493
1,11,1577.89
1,11,288.199
1,14,889.616
1,14,316.673
1,11,243.044
1,11,343.717
1,15,291.653
1,15,125.692
1,11,345.147
1,11,368.736
1,12,190.981
1,12,100.672
1,12,336.807
1,12,288.199
1,12,393.756
1,11,20.1344
1,11,231.25
1,13,154.167
1,13,239.59
1,11,584.737
1,11,417.345
1,13,28.4744
1,13,588.192
1,13,299.993
1,13,620.121
1,11,551.377
1,11,56.9488
1,12,157.621
1,12,105.558
1,12,481.203
1,12,536.128
1,12,524.334
1,11,97.2177
1,11,254.839
1,11,239.59
1,11,474.294
1,11,68.7433
1,11,28.4744
1,11,1031.99
1,11,308.333
1,15,303.448
1,11,113.898
1,11,113.898
1,11,822.896
1,11,361.827
1,15,68.7433
1,15,311.788
1,11,211.115
1,11,606.895
1,11,375.646
1,11,896.525
1,12,1107.64
1,11,377.076
1,11,56.9488
1,12,105.558
1,15,169.416
1,15,77.0833
1,11,48.6089
1,11,381.962
1,12,1302.08
1,12,284.744
1,11,454.16
1,11,271.519
1,12,767.378
1,11,868.051
1,11,77.0833
1,13,276.404
1,13,174.301
1,11,80.5378
1,11,85.4232
1,11,713.884
1,11,182.641
1,13,125.692
1,11,398.642
1,11,125.692
1,13,291.653
1,13,154.167
1,11,113.898
1,11,105.558
1,11,56.9488
1,11,68.7433
1,13,170.846
1,13,462.5
1,11,866.027
1,11,202.775
1,12,105.558
1,11,129.147
1,11,145.827
1,12,229.819
1,13,28.4744
1,12,170.846
1,11,113.898
1,11,125.692
1,11,377.076
1,11,417.345
1,13,77.0833
1,13,514.563
1,13,182.641
1,11,227.795
1,11,154.167
1,13,77.0833
1,13,597.963
1,11,125.692
1,11,353.487
1,13,28.4744
1,11,397.211
1,11,56.9488
1,11,190.981
1,11,190.981
1,14,189.55
1,11,511.108
1,11,422.231
1,12,162.506
1,12,134.032
1,12,142.372
1,14,462.5
1,14,211.115
1,14,190.981
1,11,792.398
1,11,20.1344
1,12,311.788
1,12,868.051
1,11,331.922
1,11,434.025
1,12,1359.02
1,12,259.724
1,13,20.1344
1,14,68.7433
1,14,202.775
1,14,142.372
1,14,470.84
1,11,28.4744
1,11,436.049
1,14,219.455
1,14,28.4744
1,14,402.096
1,11,336.807
1,11,182.641
1,12,363.851
1,12,48.6089
1,12,1115.98
1,12,531.243
1,12,28.4744
1,12,211.115
1,11,393.756
1,11,409.005
1,14,219.455
1,14,279.859
1,11,323.582
1,11,129.147
1,11,336.807
1,11,239.59
1,13,618.097
1,14,28.4744
1,14,442.365
1,11,361.827
1,11,747.244
1,12,145.827
1,12,28.4744
1,12,271.519
1,12,988.857
1,12,514.563
1,12,377.076
1,12,390.302
1,12,243.044
1,12,113.898
1,12,77.0833
1,12,284.744
1,14,20.1344
1,14,328.467
1,11,77.0833
1,11,484.065
1,12,831.236
1,11,271.519
1,11,97.2177
1,12,120.807
1,12,20.1344
1,12,438.911
1,12,591.646
1,11,109.012
1,11,199.321
1,14,28.4744
1,14,190.981
1,14,170.846
1,11,1068.8
1,11,28.4744
1,14,636.801
1,11,254.839
1,11,227.795
1,11,206.23
1,11,109.012
1,11,336.807
1,11,77.0833
1,12,251.384
1,13,56.9488
1,13,291.653
1,11,388.871
1,11,105.558
1,13,222.91
1,11,574.966
1,11,888.185
1,11,154.167
1,11,328.467
1,11,48.6089
1,11,68.7433
1,14,304.879
1,14,304.879
1,14,77.0833
1,11,511.108
1,11,28.4744
1,11,88.8777
1,11,211.115
1,12,340.262
1,14,56.9488
1,14,170.846
1,11,534.697
1,11,109.012
1,14,28.4744
1,14,933.339
1,14,134.032
1,14,199.321
1,13,786.082
1,11,117.352
1,11,85.4232
1,11,288.199
1,11,48.6089
1,12,231.25
1,11,259.724
1,11,105.558
1,13,239.59
1,13,308.333
1,11,409.005
1,11,296.539
1,13,162.506
1,11,482.634
1,11,134.032
1,13,28.4744
1,11,100.672
1,11,56.9488
1,14,750.698
