strahler_order,tokunaga_index,length
1,11,610.115
1,11,626.935
1,12,135.433
1,11,350.202
1,11,233.468
1,11,418.583
1,11,196.069
1,12,911.964
1,12,207.023
1,11,636.56
1,11,719.104
1,13,267.659
1,13,289.566
1,14,476.561
1,13,319.22
1,11,71.5895
1,11,196.069
1,12,1044.19
1,11,71.5895
1,11,267.659
1,11,18.6995
1,11,203.815
1,11,205.694
1,11,79.3351
1,14,452.774
1,14,199.277
1,14,172.832
1,14,158.67
1,11,361.156
1,11,414.046
1,11,236.676
1,11,294.104
1,13,490.173
1,13,267.659
1,11,787.485
1,11,233.468
1,12,528.901
1,14,79.3351
1,11,161.879
1,11,52.8901
1,12,418.583
1,12,346.994
1,12,169.624
1,11,45.1445
1,11,52.8901
1,11,26.445
1,11,222.514
1,11,146.387
1,13,71.5895
1,13,248.959
1,14,18.6995
1,14,278.613
1,12,497.918
1,11,248.959
1,11,203.815
1,12,569.508
1,12,177.37
1,12,18.6995
1,12,418.583
1,11,45.1445
1,11,52.8901
1,12,558.554
1,11,264.45
1,11,309.595
1,13,376.647
1,13,127.688
1,13,105.78
1,13,79.3351
1,11,558.554
1,11,52.8901
1,13,241.214
1,13,259.913
1,11,56.0984
1,11,172.832
1,12,116.734
1,12,132.225
1,14,18.6995
1,11,143.179
1,11,124.48
1,12,244.422
1,11,564.971
1,11,222.514
1,12,93.4973
1,12,399.884
1,11,79.3351
1,11,124.48
1,13,488.844
1,13,248.959
1,14,37.3989
1,14,558.554
1,11,207.023
1,11,185.115
1,12,108.988
1,12,217.977
1,11,294.104
1,11,150.925
1,14,222.514
1,11,543.063
1,11,403.092
1,14,18.6995
1,14,244.422
1,11,862.833
1,11,641.648
1,11,985.433
1,11,203.815
1,14,224.394
1,14,1175.09
1,14,232.139
1,11,116.734
1,11,331.503
1,11,289.566
1,11,116.734
1,13,497.918
1,13,547.6
1,11,214.769
1,11,26.445
1,13,116.734
1,13,98.0346
1,13,127.688
1,13,309.595
1,13,538.526
1,11,180.578
1,11,52.8901
1,12,52.8901
1,11,214.769
1,11,203.815
1,12,309.595
1,13,283.15
1,13,418.583
1,13,169.624
1,14,550.808
1,11,516.618
1,11,233.468
1,12,252.168
1,14,474.682
1,14,309.595
1,11,735.924
1,11,26.445
1,14,666.214
1,11,222.514
1,11,79.3351
1,14,116.734
1,14,278.613
1,11,177.37
1,11,45.1445
1,14,79.3351
1,14,180.578
1,14,79.3351
1,11,410.838
1,11,79.3351
1,11,79.3351
1,12,211.56
1,12,477.89
1,12,339.248
1,11,79.3351
1,11,26.445
1,12,26.445
1,12,52.8901
1,13,339.248
1,13,52.8901
1,13,252.168
1,13,158.67
1,13,211.56
1,13,79.3351
1,13,317.34
1,13,264.45
1,11,454.653
1,11,482.427
1,12,196.069
1,11,207.023
1,11,396.676
1,14,750.086
1,14,157.341
1,11,264.45
1,11,1073.84
1,11,256.705
1,11,673.959
1,14,1005.46
1,12,71.5895
1,11,370.23
1,11,395.347
1,11,177.37
1,11,188.324
1,12,185.115
1,12,230.26
1,12,45.1445
1,12,267.659
1,11,362.485
1,11,26.445
1,13,52.8901
1,12,90.289
1,11,108.988
1,11,516.618
1,11,132.225
1,11,124.48
1,14,74.7978
1,11,666.214
1,11,52.8901
1,11,71.5895
1,11,82.5434
1,14,224.394
1,14,311.474
1,14,341.128
1,14,79.3351
1,11,56.0984
1,11,504.335
1,12,958.438
1,11,885.519
1,11,376.647
1,12,26.445
1,11,188.324
1,11,90.289
1,12,286.358
1,13,177.37
1,11,158.67
1,11,350.202
1,13,852.657
1,11,98.0346
1,11,52.8901
1,12,52.8901
1,12,105.78
1,11,79.3351
1,11,339.248
1,12,515.289
1,13,683.034
1,11,124.48
1,11,743.669
1,14,185.115
1,14,843.583
1,14,169.624
1,11,418.583
1,11,490.173
1,11,457.862
1,11,764.248
1,15,901.01
1,15,363.035
1,11,238.005
1,11,851.329
1,15,267.659
1,15,105.78
1,11,150.925
1,11,207.023
1,15,728.729
1,15,984.883
1,11,79.3351
1,11,52.8901
1,12,79.3351
1,12,241.214
1,12,79.3351
1,15,176.041
1,15,207.023
1,15,652.051
1,15,336.04
1,15,37.3989
1,15,770.665
1,15,264.45
1,15,79.3351
1,11,715.895
1,11,18.6995
1,15,1207.95
1,15,286.358
1,15,172.832
1,11,331.503
1,11,241.214
1,12,74.7978
1,12,210.231
1,12,98.0346
1,12,105.78
1,12,143.179
1,11,185.115
1,11,132.225
1,12,305.058
1,12,108.988
1,12,177.37
1,11,112.197
1,11,119.942
1,15,373.989
1,15,205.694
1,11,93.4973
1,11,172.832
1,15,472.024
1,15,243.093
1,15,74.7978
1,15,93.4973
1,12,319.22
1,11,353.41
1,11,63.844
1,12,112.197
1,11,161.879
1,11,283.15
1,11,56.0984
1,11,37.3989
1,11,56.0984
1,11,26.445
1,12,26.445
1,13,548.151
1,11,248.959
1,11,169.624
1,11,26.445
1,11,217.977
1,14,18.6995
1,14,63.844
1,14,241.214
1,14,45.1445
1,11,186.995
1,11,874.565
1,12,150.925
1,11,270.867
1,11,177.37
1,11,26.445
1,11,116.734
1,13,384.393
1,13,98.0346
1,13,18.6995
1,13,527.572
1,13,188.324
1,11,79.3351
1,11,177.37
1,13,143.179
1,12,445.028
1,11,90.289
1,11,105.78
1,12,455.982
1,14,98.0346
1,14,158.67
1,14,169.624
1,14,241.214
1,11,644.306
1,11,135.433
1,12,812.601
1,12,326.965
1,11,624.277
1,11,135.433
1,14,132.225
1,14,410.838
1,14,252.168
1,11,18.6995
1,11,18.6995
1,15,419.134
1,15,225.722
1,11,757.831
1,11,161.879
1,15,269.538
1,14,45.1445
1,14,243.093
1,11,157.341
1,11,390.809
1,14,367.573
1,14,101.243
1,14,90.289
1,12,266.33
1,11,161.879
1,11,165.087
1,14,372.11
1,11,357.948
1,11,399.884
1,11,71.5895
1,11,415.375
1,12,52.8901
1,12,52.8901
1,11,275.404
1,11,203.815
1,12,986.762
1,12,150.925
1,11,418.583
1,11,26.445
1,12,18.6995
1,11,289.566
1,11,18.6995
1,11,373.439
1,11,52.8901
1,12,203.815
1,13,116.734
1,12,952.571
1,11,283.15
1,11,196.069
1,12,312.803
1,11,203.815
1,11,362.485
1,12,376.647
1,12,584.999
1,12,214.769
1,12,185.115
1,11,158.67
1,11,63.844
1,12,588.207
1,11,45.1445
1,11,56.0984
1,13,45.1445
1,11,678.496
1,11,124.48
1,12,1090.66
1,12,98.0346
1,13,622.398
1,13,180.578
1,13,127.688
1,11,406.3
1,11,150.925
1,13,225.722
1,13,18.6995
1,13,259.913
1,14,188.324
1,14,504.335
1,14,252.168
1,14,230.26
1,14,158.67
1,14,266.33
1,14,334.711
1,14,132.225
1,14,56.0984
1,14,613.323
1,14,176.041
1,12,258.584
1,12,112.197
1,11,252.168
1,11,493.381
1,12,18.6995
1,12,169.624
1,11,52.8901
1,11,238.005
1,13,317.891
1,11,45.1445
1,11,108.988
1,13,305.058
1,13,191.532
1,13,225.722
1,12,108.988
1,12,395.347
1,11,63.844
1,11,356.619
1,11,248.959
1,11,124.48
1,11,638.44
1,11,700.955
1,11,622.398
1,11,594.624
1,12,519.826
1,11,462.399
1,11,196.069
1,11,124.48
1,11,346.994
1,13,56.0984
1,11,150.925
1,11,56.0984
1,11,108.988
1,11,161.879
1,15,101.243
1,11,146.387
1,11,574.596
1,11,1042.86
1,11,481.098
1,11,689.45
1,11,211.56
1,12,286.358
1,12,82.5434
1,12,261.792
1,11,130.896
1,11,490.723
1,15,108.988
1,15,400.434
1,15,172.832
1,15,1047.95
1,15,482.978
1,15,149.596
1,13,205.694
1,12,435.954
1,11,285.029
1,11,56.0984
1,12,37.3989
1,12,150.925
1,12,305.058
1,11,98.0346
1,11,214.769
1,12,105.78
1,11,52.8901
1,11,376.647
1,13,560.433
1,15,331.503
1,12,933.872
1,11,569.508
1,11,79.3351
1,11,490.173
1,11,407.629
1,12,52.8901
1,11,557.225
1,11,368.902
1,15,392.689
1,15,280.492
1,11,639.768
1,11,524.363
1,15,729.279
1,15,232.139
1,15,453.324
1,11,569.508
1,11,18.6995
1,12,319.22
1,12,355.29
1,12,186.995
1,12,168.295
1,12,18.6995
1,11,205.694
1,11,37.3989
1,15,90.289
1,11,202.486
1,11,52.8901
1,11,350.202
1,11,186.995
1,15,45.1445
1,11,214.769
1,11,515.289
1,11,127.688
