strahler_order,tokunaga_index,length
1,17,18.9166
1,17,240.769
1,12,75.6665
1,12,381.021
1,12,404.528
1,12,621.79
1,11,561.795
1,11,91.3375
1,12,118.09
1,13,83.502
1,13,26.7521
1,11,110.254
1,11,621.79
1,11,228.344
1,11,214.017
1,12,1095.49
1,12,83.502
1,11,144.842
1,11,300.765
1,13,72.4209
1,11,369.94
1,11,703.948
1,12,1092.8
1,13,56.7499
1,13,574.777
1,13,643.953
1,13,732.044
1,13,236.179
1,12,251.85
1,12,155.923
1,11,1610.28
1,11,1879.7
1,13,37.8332
1,15,18.9166
1,15,439.115
1,15,399.938
1,15,190.511
1,11,338.598
1,11,549.369
1,12,232.934
1,13,163.758
1,12,171.594
1,11,18.9166
1,11,388.857
1,12,110.254
1,12,53.5043
1,11,187.265
1,11,220.508
1,13,255.096
1,13,225.098
1,13,472.359
1,13,1475.17
1,12,193.756
1,11,26.7521
1,11,262.931
1,11,518.027
1,11,341.844
1,14,590.448
1,11,464.523
1,11,174.84
1,14,289.684
1,14,133.761
1,11,217.263
1,11,481.538
1,14,26.7521
1,11,407.773
1,11,160.513
1,12,420.199
1,11,563.696
1,11,206.182
1,12,80.2564
1,14,179.429
1,14,377.776
1,14,316.436
1,11,209.427
1,11,118.09
1,12,45.6688
1,12,190.511
1,12,80.2564
1,12,118.09
1,12,80.2564
1,12,236.179
1,11,904.983
1,11,72.4209
1,13,262.931
1,11,476.949
1,11,908.228
1,12,1049.82
1,12,110.254
1,13,214.017
1,13,163.758
1,13,362.104
1,13,439.115
1,11,563.696
1,11,270.767
1,11,26.7521
1,11,118.09
1,14,45.6688
1,11,171.594
1,11,711.784
1,13,206.182
1,11,26.7521
1,11,823.382
1,11,266.177
1,11,137.006
1,12,171.594
1,12,18.9166
1,12,450.196
1,14,171.594
1,14,722.865
1,14,393.447
1,14,1031.46
1,11,56.7499
1,11,388.857
1,15,201.592
1,11,274.013
1,11,894.459
1,15,633.428
1,11,72.4209
1,11,53.5043
1,12,140.252
1,12,72.4209
1,11,267.521
1,11,209.427
1,17,45.6688
1,12,388.857
1,11,125.925
1,11,981.206
1,11,244.015
1,11,1259.25
1,11,179.429
1,11,107.009
1,11,140.252
1,11,401.282
1,17,255.096
1,17,327.517
1,17,827.972
1,17,544.78
1,11,957.143
1,11,426.69
1,11,625.036
1,11,91.3375
1,12,18.9166
1,13,316.436
1,11,133.761
1,11,45.6688
1,11,26.7521
1,11,313.19
1,13,83.502
1,13,26.7521
1,13,259.686
1,13,236.179
1,11,163.758
1,11,26.7521
1,12,343.188
1,12,91.3375
1,11,369.94
1,11,316.436
1,12,198.346
1,13,647.198
1,13,349.679
1,12,316.436
1,11,155.923
1,11,102.419
1,12,373.186
1,12,239.425
1,11,107.009
1,11,404.528
1,12,133.761
1,13,289.684
1,12,121.335
1,12,232.934
1,12,339.942
1,12,99.173
1,11,179.429
1,11,381.021
1,12,776.369
1,12,64.5854
1,11,217.263
1,11,107.009
1,13,300.765
1,11,190.511
1,11,232.934
1,13,251.85
1,11,270.767
1,11,225.098
1,11,388.857
1,13,560.451
1,13,511.536
1,11,411.019
1,11,137.006
1,12,381.021
1,12,64.5854
1,12,152.677
