strahler_order,tokunaga_index,length
1,11,333.015
1,11,28.4455
1,12,97.119
1,11,68.6735
1,11,97.119
1,11,142.228
1,11,28.4455
1,12,113.782
1,13,401.688
1,13,190.787
1,11,482.144
1,11,373.243
1,13,80.456
1,11,559.149
1,11,331.585
1,11,632.703
1,11,88.7875
1,12,182.456
1,11,542.486
1,11,185.907
1,12,900.495
1,13,801.947
1,11,341.346
1,11,361.46
1,13,600.807
1,13,616.04
1,13,441.916
1,13,217.803
1,11,28.4455
1,11,497.378
1,11,381.574
1,11,331.585
1,12,190.787
1,11,984.402
1,11,185.907
1,13,388.476
1,11,490.476
1,11,259.461
1,11,48.5595
1,11,190.787
1,12,182.456
1,11,40.228
1,11,105.451
1,12,154.01
1,12,410.02
1,11,170.673
1,11,28.4455
1,11,364.911
1,11,20.114
1,12,202.57
1,13,77.005
1,13,222.684
1,11,718.04
1,11,48.5595
1,14,413.471
1,14,785.284
1,14,279.575
1,11,477.264
1,11,401.688
1,14,421.802
1,14,28.4455
1,14,1029.51
1,11,28.4455
1,11,510.59
1,14,319.803
1,11,324.683
1,11,20.114
1,14,356.58
1,11,364.911
1,11,190.787
1,12,554.269
1,12,324.683
1,11,20.114
1,11,68.6735
1,12,1674
1,11,425.253
1,11,199.119
1,12,77.005
1,12,331.585
1,14,85.3365
1,14,165.793
1,11,274.694
1,11,137.347
1,12,835.273
1,11,1042.72
1,11,56.891
1,11,222.684
1,11,85.3365
1,11,247.678
1,11,77.005
1,13,276.124
1,13,197.689
1,13,56.891
1,11,267.792
1,11,20.114
1,12,20.114
1,14,169.244
1,11,741.605
1,11,498.807
1,12,77.005
1,12,587.595
1,12,600.807
1,14,174.124
1,14,643.056
1,11,383.596
1,11,774.931
1,11,328.134
1,11,165.793
1,14,97.119
1,11,1037.84
1,11,117.233
1,13,380.145
1,11,286.477
1,11,28.4455
1,12,149.13
1,12,457.15
1,11,170.673
1,11,133.896
1,13,1310.52
1,13,287.906
1,12,219.233
1,11,661.149
1,11,241.368
1,12,505.709
1,13,708.279
1,13,28.4455
1,13,56.891
1,13,612.589
1,13,507.139
1,14,915.729
1,14,373.243
1,11,425.253
1,11,381.574
1,12,641.035
1,12,473.813
1,12,490.476
1,14,170.673
1,14,133.896
1,11,80.456
1,11,85.3365
1,14,267.792
1,11,222.684
1,11,510.59
1,12,40.228
1,12,48.5595
1,12,539.035
1,11,473.813
1,11,227.564
1,14,319.803
1,12,552.839
1,11,40.228
1,11,56.891
1,12,328.134
1,12,185.907
1,11,145.679
