strahler_order,tokunaga_index,length
1,11,115.462
1,11,134.705
1,12,296.625
1,12,323.84
1,13,76.9745
1,13,46.4582
1,12,65.7018
1,11,57.7309
1,11,192.436
1,11,65.7018
1,11,685.601
1,12,65.7018
1,11,84.9454
1,11,100.887
1,13,38.4872
1,13,123.433
1,13,535.52
1,13,177.862
1,13,19.2436
1,11,192.436
1,11,142.676
1,13,115.462
1,13,96.2181
1,11,269.411
1,11,76.9745
1,12,76.9745
1,12,134.705
1,12,288.654
1,13,84.9454
1,11,312.567
1,11,19.2436
1,14,1155.98
1,11,269.411
1,11,65.7018
1,14,211.68
1,14,384.872
1,13,297.993
1,13,120.131
1,13,104.189
1,12,65.7018
1,12,150.647
1,12,174.56
1,11,19.2436
1,11,259.506
1,12,469.251
1,12,123.433
1,11,387.608
1,11,828.277
1,11,112.16
1,11,732.059
1,12,826.909
1,13,120.131
1,12,27.2146
1,12,19.2436
1,11,46.4582
1,11,38.4872
1,11,92.9164
1,11,352.422
1,13,211.68
1,14,115.462
1,11,115.462
1,11,120.131
1,14,440.669
1,14,104.189
1,11,420.058
1,11,527.549
1,13,96.2181
1,12,243.564
1,12,150.647
1,11,599.287
1,11,1016.04
1,12,27.2146
1,12,19.2436
1,11,27.2146
1,11,123.433
1,13,328.509
1,11,211.68
1,11,131.404
1,12,76.9745
1,11,378.269
1,11,250.167
1,14,366.996
1,13,169.891
1,12,57.7309
1,12,54.4292
1,12,84.9454
1,12,313.935
1,11,169.891
1,11,197.105
1,12,259.506
1,12,185.833
1,12,54.4292
1,11,104.189
1,11,344.451
1,11,38.4872
1,11,96.2181
1,14,96.2181
1,12,405.484
1,11,38.4872
1,11,514.342
1,12,128.102
1,12,216.349
1,12,305.964
1,11,560.8
1,11,96.2181
1,12,123.433
1,11,65.7018
1,11,258.138
1,11,57.7309
1,11,76.9745
1,11,841.483
1,11,439.302
1,12,397.513
1,11,150.647
1,11,38.4872
1,12,246.865
1,12,147.346
1,11,209.746
1,11,115.462
1,12,371.666
1,12,46.4582
1,12,507.739
1,12,131.404
1,12,76.9745
1,11,216.349
1,11,262.807
1,12,92.9164
1,12,501.702
1,12,623.2
1,11,633.105
1,11,84.9454
1,12,378.269
1,13,418.124
1,13,54.4292
1,13,490.429
1,13,544.858
1,13,544.858
1,13,161.92
1,13,498.4
1,13,471.186
1,13,274.08
1,12,323.84
1,11,112.16
1,11,46.4582
1,13,775.782
1,11,475.855
1,11,169.891
1,11,189.135
1,11,57.7309
1,11,73.6728
1,11,65.7018
1,14,92.9164
1,14,560.8
1,11,131.404
1,11,38.4872
1,14,153.949
1,11,402.182
1,11,317.236
1,11,378.269
1,11,92.9164
1,13,185.833
1,13,153.949
1,11,266.109
1,11,216.349
1,12,73.6728
1,12,224.32
1,11,65.7018
1,11,120.131
1,13,374.967
1,13,366.996
1,13,123.433
1,13,112.16
1,13,189.135
1,13,573.44
1,13,27.2146
1,13,96.2181
1,13,65.7018
1,13,84.9454
1,13,19.2436
1,13,120.131
1,13,19.2436
1,13,189.135
1,14,181.164
1,11,290.022
1,11,232.291
1,14,200.407
1,14,304.596
1,14,538.255
1,14,142.676
1,12,301.295
1,11,76.9745
1,11,269.411
1,12,315.869
1,12,219.651
1,12,509.673
1,12,756.538
1,14,76.9745
1,11,733.993
1,11,305.964
1,12,27.2146
1,12,266.109
1,12,480.524
1,12,297.993
1,11,123.433
1,11,19.2436
1,12,293.324
1,12,19.2436
1,13,158.618
1,13,756.538
1,13,100.887
1,11,363.695
1,11,317.236
1,13,84.9454
1,13,57.7309
1,13,197.105
1,11,498.4
1,11,254.836
1,11,232.291
1,11,158.618
1,12,57.7309
1,12,81.6438
1,11,112.16
1,11,57.7309
1,13,134.705
1,13,341.149
1,11,984.159
1,11,716.117
1,13,370.298
1,13,274.08
1,14,711.447
1,14,290.022
1,14,238.894
1,14,46.4582
1,11,540.189
1,11,189.135
1,12,706.778
1,12,19.2436
1,12,177.862
1,12,487.127
1,12,123.433
1,12,1139.48
1,11,285.353
1,11,54.4292
1,12,397.513
1,12,73.6728
1,11,243.564
1,11,19.2436
1,12,259.506
1,12,46.4582
1,11,84.9454
1,11,227.622
1,13,19.2436
1,13,690.836
1,13,208.378
1,11,96.2181
1,11,297.993
1,11,76.9745
1,11,197.105
1,11,205.076
1,11,46.4582
1,13,459.913
1,11,27.2146
1,11,100.887
1,14,254.836
1,14,19.2436
1,12,769.178
1,11,333.178
1,11,158.618
