"Siteindex","Mean AnnualRain [mm]"
1,947
2,725
3,1283
4,957
5,1993
6,949
7,800
8,969
9,2044
10,1029
11,2380
12,359
13,1135
14,1718
15,916
16,1121
17,988
18,892
19,944
20,381
21,832
22,1480
23,1397
24,794
25,537
26,741
27,878
28,1246
29,830
30,710
31,1291
32,1179
33,938
34,552
35,1579
36,837
37,1486
38,1015
39,1251
40,926
41,1222
42,1882
43,725
44,526
45,837
46,1179
47,1314
48,658
49,487
50,374
